Team,Player,Position,AAV,RemainingYears,ContractStatusAtExpiry
Carolina Hurricanes,William Carrier,"LW,RW","$2,150,000",4,UFA
Carolina Hurricanes,Mark Jankowski,C,"$1,850,000",2,UFA
Carolina Hurricanes,Eric Robinson,"LW,RW","$1,700,000",3,UFA
Carolina Hurricanes,Nicolas Deslauriers,LW,"$875,000",2,UFA
Carolina Hurricanes,K'Andre Miller,LD,"$7,500,000",7,UFA
Carolina Hurricanes,Jaccob Slavin,LD,"$6,396,062",7,UFA
Carolina Hurricanes,Sean Walker,"RD,LD","$3,625,000",3,UFA
Carolina Hurricanes,Shayne Gostisbehere,LD,"$3,200,000",1,UFA
Carolina Hurricanes,Jalen Chatfield,RD,"$3,075,000",1,UFA
Carolina Hurricanes,Joel Nystrom,RD,"$1,225,000",4,UFA
Carolina Hurricanes,Pierre-Olivier Joseph,"LD,RD","$850,000",1,UFA
Carolina Hurricanes,Alexander Nikishin,"LD,RD",,3,Unsigned RFA/UFA
Carolina Hurricanes,Pyotr Kochetkov,G,"$2,000,000",1,UFA
Carolina Hurricanes,Brandon Bussi,G,"$1,900,000",3,UFA
Carolina Hurricanes,Ivan Ryabkin,C,"$952,222",3,RFA
Carolina Hurricanes,Gleb Trikozov,LW,"$937,500",1,RFA
Carolina Hurricanes,Bradly Nadeau,"W,C","$918,333",1,RFA
Carolina Hurricanes,Charlie Cerrato,F,"$915,000",2,RFA
Carolina Hurricanes,Felix Unger Sörum,RW,"$903,334",2,RFA
Carolina Hurricanes,Viktor Neuchev,"LW,RW","$850,000",1,RFA
Carolina Hurricanes,Juha Jaaska,"LW,RW","$850,000",1,UFA
Carolina Hurricanes,Noel Gunler,RW,,3,Unsigned RFA/UFA
Carolina Hurricanes,Justin Robidas,C,,4,Unsigned RFA/UFA
Carolina Hurricanes,William Håkansson,,"$996,000",3,RFA
Carolina Hurricanes,Noel Fransén,D,"$990,000",3,RFA
Carolina Hurricanes,Dominik Badinka,D,"$931,350",3,RFA
Carolina Hurricanes,Charles-Alexis Legault,RD,"$915,833",1,RFA
Carolina Hurricanes,Juuso Valimaki,LD,"$900,000",1,UFA
Carolina Hurricanes,Bryce Montgomery,D,"$854,910",1,RFA then UFA
Carolina Hurricanes,Ronan Seeley,D,"$850,000",1,RFA then UFA
Carolina Hurricanes,Aleksi Heimosalmi,D,"$850,000",1,RFA then UFA
Carolina Hurricanes,Ruslan Khazheyev,G,"$920,000",1,RFA
Carolina Hurricanes,Zachary Sawchenko,G,"$850,000",1,UFA
Carolina Hurricanes,Cayden Primeau,G,,1,Unsigned RFA/UFA
Chicago Blackhawks,Connor Bedard,C,"$15,000,000",5,UFA
Chicago Blackhawks,Patrick Kane,RW,"$8,000,000",2,UFA
Chicago Blackhawks,Frank Nazar,"C,RW","$6,599,991",7,UFA
Chicago Blackhawks,Tyler Bertuzzi,"LW,RW","$5,500,000",2,UFA
Chicago Blackhawks,Teuvo Teravainen,LW,"$5,400,000",1,UFA
Chicago Blackhawks,Ryan Donato,"LW,C","$4,000,000",3,UFA
Chicago Blackhawks,Jordan Greenway,"LW,RW","$4,000,000",1,UFA
Chicago Blackhawks,Andrew Mangiapane,"LW,RW","$3,600,000",1,UFA
Chicago Blackhawks,Cole Smith,LW,"$3,000,000",3,UFA
Chicago Blackhawks,Roman Kantserov,"RW,LW","$1,075,000",3,RFA
Chicago Blackhawks,Anton Frondell,C,"$986,250",2,RFA
Chicago Blackhawks,Sacha Boisvert,C,"$977,917",2,RFA
Chicago Blackhawks,Ryan Greene,"C,LW","$950,000",1,RFA
Chicago Blackhawks,Oliver Moore,"C,LW","$941,667",1,RFA
Chicago Blackhawks,Landon Slaggert,"LW,RW","$900,000",1,RFA then UFA
Chicago Blackhawks,Ryan Ellis,D,"$6,250,000",1,UFA
Chicago Blackhawks,Bowen Byram,LD,"$12,500,000",7,UFA
Chicago Blackhawks,Alex Vlasic,LD,"$4,600,000",4,UFA
Chicago Blackhawks,Ian Cole,"LD,RD","$4,000,000",1,UFA
Chicago Blackhawks,Wyatt Kaiser,LD,"$1,700,000",1,RFA then UFA
Chicago Blackhawks,Kevin Korchinski,LD,"$1,325,000",2,RFA then UFA
Chicago Blackhawks,Artyom Levshunov,RD,"$975,000",1,RFA
Chicago Blackhawks,Sam Rinzel,RD,"$941,667",1,RFA
Chicago Blackhawks,Spencer Knight,G,"$5,833,333",3,UFA
Chicago Blackhawks,Arvid Soderblom,G,"$2,750,000",1,UFA
Chicago Blackhawks,Jiri Felcman,C,"$996,667",3,RFA
Chicago Blackhawks,Marek Vanacker,LW,"$941,667",3,RFA
Chicago Blackhawks,AJ Spellacy,"RW,C","$932,500",3,RFA
Chicago Blackhawks,Martin Misiak,W,"$928,333",1,RFA
Chicago Blackhawks,Nick Lardis,"LW,RW","$925,000",2,RFA
Chicago Blackhawks,Paul Ludwinski,"C,LW","$900,000",1,RFA
Chicago Blackhawks,Samuel Savoie,"LW,C","$896,666",1,RFA
Chicago Blackhawks,Gavin Hayes,"LW,RW","$865,000",1,RFA
