Team,Year,Round,Status,PickValue,TradeDetails
Colorado Avalanche,2028,3,Own,2.05,"May 3 2025 The Colorado Avalanche acquired Brock Nelson and William Dufour from the New York Islanders for Calum Ritchie, Oliver Kylington, a conditional 2026 1st round pick, and a conditional 2028 3rd round pick."
Colorado Avalanche,2028,4,Own,0.98,
Colorado Avalanche,2028,5,Acquired from Blue Jackets,0.54,"Jun 25 2026 The Columbus Blue Jackets acquire Valeri Nichushkin from the Colorado Avalanche for a 2026 2nd round pick (STL, #43), a 2027 3rd round pick and a 2028 5th round pick"
Colorado Avalanche,2028,5,Own,0.54,
Colorado Avalanche,2028,6,Own,0.29,
Colorado Avalanche,2028,7,Own,0.14,
Colorado Avalanche,2029,1,Own,14.49,
Colorado Avalanche,2029,2,Own,5.71,
Colorado Avalanche,2029,3,Traded Away,2.05,"Jun 24 2026 | Traded Away The Nashville Predators acquire Jack Drury, Chase Bradley and a 2029 3rd round pick from the Colorado Avalanche for Fyodor Svechkov and Zachary L'Heureux"
Colorado Avalanche,2029,4,Own,0.98,
Colorado Avalanche,2029,5,Own,0.54,
Colorado Avalanche,2029,6,Own,0.29,
Colorado Avalanche,2029,7,Own,0.14,
Colorado Avalanche,2030,1,Own,14.49,
Colorado Avalanche,2030,2,Own,5.71,
Colorado Avalanche,2030,3,Own,2.05,
Colorado Avalanche,2030,4,Own,0.98,
Colorado Avalanche,2030,5,Own,0.54,
Colorado Avalanche,2030,6,Own,0.29,
Colorado Avalanche,2030,7,Own,0.14,
Colorado Avalanche,2031,1,Own,14.49,
Colorado Avalanche,2031,2,Own,5.71,
Colorado Avalanche,2031,3,Own,2.05,
Colorado Avalanche,2031,4,Own,0.98,
Colorado Avalanche,2031,5,Own,0.54,
Colorado Avalanche,2031,6,Own,0.29,
Colorado Avalanche,2031,7,Own,0.14,
Columbus Blue Jackets,2027,1,Own,31.29,
Columbus Blue Jackets,2027,2,Traded Away,5.71,Dec 19 2025 | Traded Away The Columbus Blue Jackets acquired Mason Marchment from the Seattle Kraken for a 2027 2nd round pick and a 2026 4th round pick
Columbus Blue Jackets,2027,3,Traded Away,2.05,"Jun 25 2026 | Traded Away The Columbus Blue Jackets acquire Valeri Nichushkin from the Colorado Avalanche for a 2026 2nd round pick (STL, #43), a 2027 3rd round pick and a 2028 5th round pick"
Columbus Blue Jackets,2027,3,Acquired from Capitals,2.05,"Dec 29 2025 The Pittsburgh Penguins acquired Yegor Chinakhov from the Columbus Blue Jackets for Danton Heinen, a 2026 2nd round pick and a 2027 3rd round pick"
Columbus Blue Jackets,2027,3,Acquired from Bruins,2.05,Mar 8 2024 The Boston Bruins acquired Andrew Peeke from the Columbus Blue Jackets for a 2027 3rd round pick and Jakub Zboril
Columbus Blue Jackets,2027,4,Own,0.98,
Columbus Blue Jackets,2027,5,Own,0.54,
Columbus Blue Jackets,2027,6,Own,0.29,
Columbus Blue Jackets,2027,7,Own,0.14,
Columbus Blue Jackets,2028,1,Own,31.29,
