Team,Year,Round,Status,PickValue,TradeDetails
Vegas Golden Knights,2031,7,Own,0.14,
Washington Capitals,2027,1,Own,31.29,
Washington Capitals,2027,2,Own,5.71,
Washington Capitals,2027,3,Traded Away,2.05,Nov 12 2024 | Traded Away The Washington Capitals acquired Lars Eller from the Pittsburgh Penguins for 2025 5th Round Pick and 2027 3rd Round Pick
Washington Capitals,2027,3,Acquired from Ducks,2.05,Mar 5 2026 The Anaheim Ducks acquire John Carlson from the Washington Capitals for a conditional 2026 1st round pick and a 2027 3rd round pick.
Washington Capitals,2027,3,Acquired from Penguins,2.05,Jun 25 2026 The Pittsburgh Penguins acquire Hendrix Lapierre from the Washington Capitals for a 2027 3rd round pick and a 2028 5th round pick (SJS)
Washington Capitals,2027,4,Acquired from Devils,0.98,Jun 25 2026 The New Jersey Devils acquire Declan Chisholm from the Washington Capitals for a 2027 4th round pick
Washington Capitals,2027,4,Own,0.98,
Washington Capitals,2027,5,Own,0.54,
Washington Capitals,2027,6,Traded Away,0.29,Jun 26 2025 | Traded Away The Washington Capitals acquired Justin Sourdif from the Florida Panthers for 2026 2nd Round Pick & 2027 6th Round Pick
Washington Capitals,2027,7,Own,0.14,
Washington Capitals,2027,7,Acquired from Senators,0.14,Jun 28 2025 The Ottawa Senators acquired a 2025 3rd round pick (#93) from the Washington Capitals for a 2025 3rd round pick (#96) and a 2027 7th round pick
Washington Capitals,2028,1,Own,31.29,
Washington Capitals,2028,2,Own,5.71,
Washington Capitals,2028,3,Own,2.05,
Washington Capitals,2028,4,Own,0.98,
Washington Capitals,2028,5,Own,0.54,
Washington Capitals,2028,6,Own,0.29,
Washington Capitals,2028,7,Own,0.14,
Washington Capitals,2029,1,Own,31.29,
Washington Capitals,2029,2,Own,5.71,
Washington Capitals,2029,2,Acquired from Golden Knights,5.71,"Mar 5 2026 The Vegas Golden Knights acquire Nic Dowd from the Washington Capitals for Jesper Vikman, a 2029 2nd round pick and a 2027 3rd round pick (SJS)."
Washington Capitals,2029,3,Own,2.05,
Washington Capitals,2029,4,Own,0.98,
Washington Capitals,2029,5,Own,0.54,
Washington Capitals,2029,6,Own,0.29,
Washington Capitals,2029,7,Own,0.14,
Washington Capitals,2030,1,Own,31.29,
Washington Capitals,2030,2,Own,5.71,
Washington Capitals,2030,3,Own,2.05,
Washington Capitals,2030,4,Own,0.98,
Washington Capitals,2030,5,Own,0.54,
Washington Capitals,2030,6,Own,0.29,
Washington Capitals,2030,7,Own,0.14,
Washington Capitals,2031,1,Own,31.29,
Washington Capitals,2031,2,Own,5.71,
Washington Capitals,2031,3,Own,2.05,
Washington Capitals,2031,4,Own,0.98,
Washington Capitals,2031,5,Own,0.54,
Washington Capitals,2031,6,Own,0.29,
Washington Capitals,2031,7,Own,0.14,
Winnipeg Jets,2027,1,Own,31.29,
Winnipeg Jets,2027,2,Traded Away,5.71,Mar 7 2025 | Traded Away The Winnipeg Jets acquired Brandon Tanev from the Seattle Kraken for a 2027 2nd round pick
Winnipeg Jets,2027,2,Acquired from Sabres,5.71,"Mar 5 2026 The Buffalo Sabres acquire Logan Stanley and Luke Schenn (50% retained) from the Winnipeg Jets for Jacob Bryson, Isak Rosén, a 2027 2nd round pick and a conditional 2026 4th round pick."
Winnipeg Jets,2027,3,Own,2.05,"Feb 2 2024 Sean Monahan trade, conditional 2027 3rd Round Pick transfers from Winnipeg to Montreal if Winnipeg wins 2024 Cup: Condition not met. Feb 2 2024 The Winnipeg Jets acquired Sean Monahan from the Montreal Canadiens for a 2024 1st round pick and a conditional 2027 3rd round pick (Condition not met)"
Winnipeg Jets,2027,4,Traded Away,0.98,Mar 7 2025 | Traded Away The Winnipeg Jets acquired Luke Schenn from the Pittsburgh Penguins for a 2026 2nd round pick and a 2027 4th round pick
Winnipeg Jets,2027,5,Own,0.54,
Winnipeg Jets,2027,6,Own,0.29,
Winnipeg Jets,2027,7,Own,0.14,
Winnipeg Jets,2028,1,Own,31.29,
Winnipeg Jets,2028,2,Own,5.71,
Winnipeg Jets,2028,3,Own,2.05,
Winnipeg Jets,2028,4,Own,0.98,
Winnipeg Jets,2028,5,Own,0.54,
Winnipeg Jets,2028,6,Own,0.29,
Winnipeg Jets,2028,7,Own,0.14,
Winnipeg Jets,2029,1,Own,31.29,
Winnipeg Jets,2029,2,Own,5.71,
Winnipeg Jets,2029,3,Own,2.05,
Winnipeg Jets,2029,4,Own,0.98,
Winnipeg Jets,2029,5,Own,0.54,
Winnipeg Jets,2029,6,Own,0.29,
Winnipeg Jets,2029,7,Own,0.14,
Winnipeg Jets,2030,1,Own,31.29,
Winnipeg Jets,2030,2,Own,5.71,
Winnipeg Jets,2030,3,Own,2.05,
Winnipeg Jets,2030,4,Own,0.98,
Winnipeg Jets,2030,5,Own,0.54,
Winnipeg Jets,2030,6,Own,0.29,
Winnipeg Jets,2030,7,Own,0.14,
Winnipeg Jets,2031,1,Own,31.29,
Winnipeg Jets,2031,2,Own,5.71,
Winnipeg Jets,2031,3,Own,2.05,
Winnipeg Jets,2031,4,Own,0.98,
Winnipeg Jets,2031,5,Own,0.54,
Winnipeg Jets,2031,6,Own,0.29,
Winnipeg Jets,2031,7,Own,0.14,
